"Best Practice","Status"
"Windows Script Host is disabled","Passed"
"Backup services run under the LocalSystem account","Passed"
"Outdated SSL And TLS are Disabled","Passed"
"Unknown Linux servers are not trusted automatically","Passed"
"SMB v3 signing is enabled","Not Implemented"
"Host to proxy traffic encryption should be enabled for the Network transport mode","Passed"
"Backup jobs to cloud repositories is encrypted","Passed"
"Link-Local Multicast Name Resolution (LLMNR) is disabled","Passed"
"Immutable or offline media is used","Passed"
"Backup Server is Up To Date","Passed"
"Computer is Workgroup member","Not Implemented"
"Reverse incremental backup mode is not used","Passed"
"Configuration backup encryption is enabled","Passed"
"WDigest credentials caching is disabled","Passed"
"Web Proxy Auto-Discovery service (WinHttpAutoProxySvc) is disabled","Passed"
"All backups have at least one copy (the 3-2-1 backup rule)","Passed"
"SMB 1.0 is disabled","Passed"
"Email notifications are enabled","Passed"
"Remote registry service is disabled","Passed"
"Credentials and encryption passwords rotates annually","Not Implemented"
"Remote powershell is disabled (WinRM service)","Unable to detect"
"MFA is enabled","Passed"
"Hardened repositories have SSH disabled","Passed"
"Linux servers have password-based authentication disabled","Passed"
"Remote desktop protocol is disabled","Not Implemented"
"Configuration backup is enabled","Passed"
"Windows firewall is enabled","Passed"
"Configuration backup is enabled and use encryption","Passed"
"Hardened repositories are not hosted in virtual machines","Passed"
"The configuration backup is not stored on the backup server","Passed"
"PostgreSQL server uses recommended settings","Unable to detect"
"Password loss protection is enabled","Passed"
"Encryption network rules added for LAN traffic","Not Implemented"
"NetBIOS protocol should be disabled on all network interfaces","Passed"
"Hardened repository should not be used as proxy","Passed"
"Local Security Authority Server Service (LSASS) running as protected process","Passed"
"Backup encryption password length and complexity recommendations should be followed","Passed"
"Credentials password length and complexity recommendations should be followed","Not Implemented"
"Credential Guard is configured","Passed"
